district,year,month,ndvi,ndvi_baseline,anomaly_pct
Kancheepuram,2020,10,0.532,0.383875,38.59
Karur,2020,10,0.4027,0.411625,-2.17
Madurai,2020,10,0.5591,0.40295,38.75
Nagapattinam,2020,10,0.4009,0.435525,-7.95
Namakkal,2020,10,0.5298,0.51305,3.26
Perambalur,2020,10,0.5954,0.58555,1.68
Theni,2020,10,0.6086,0.288825,110.72
Thiruvallur,2020,10,0.5205,0.510325,1.99
Tiruvannamalai,2020,10,0.5362,0.5848,-8.31
Vellore,2020,10,0.5662,0.576975,-1.87
Villupuram,2020,10,0.5409,0.55185,-1.98
Thoothukudi,2021,1,0.5588,0.4731499999999999,18.1
Coimbatore,2021,1,0.4534,0.472775,-4.1
Dharmapuri,2021,1,0.514,0.49445,3.95
Virudhunagar,2021,1,0.5167,0.503275,2.67
Kanniyakumari,2021,1,0.7036,0.663225,6.09
Nilgiris,2021,1,0.6541,0.63945,2.29
Erode,2021,1,0.5685,0.51135,11.18
Pudukkottai,2021,1,0.5107,0.4848,5.34
Dindigul,2021,1,0.5242,0.52995,-1.09
Ramanathapuram,2021,1,0.4236,0.427625,-0.94
Salem,2021,1,0.4937,0.506475,-2.52
Thanjavur,2021,1,0.3213,0.5016,-35.94
Sivaganga,2021,1,0.4247,0.444175,-4.38
Tiruchchirappalli,2021,1,0.3844,0.478525,-19.67
Tirunelveli Kattabo,2021,1,0.435,0.4692,-7.29
Ariyalur,2021,1,0.332,0.477925,-30.53
Cuddalore,2021,1,0.3527,0.461975,-23.65
Kancheepuram,2021,1,0.3473,0.395775,-12.25
Karur,2021,1,0.4308,0.4509,-4.46
Madurai,2021,1,0.4999,0.50405,-0.82
Nagapattinam,2021,1,0.3305,0.4681,-29.4
Namakkal,2021,1,0.4941,0.479375,3.07
Perambalur,2021,1,0.3135,0.450625,-30.43
Theni,2021,1,0.4334,0.5098750000000001,-15.0
Thiruvallur,2021,1,0.4194,0.4298,-2.42
