district,year,month,rainfall_mm
Villupuram,2021,4,21.89
Thoothukudi,2021,7,18.27
Coimbatore,2021,7,83.82
Dharmapuri,2021,7,162.24
Virudhunagar,2021,7,94.2
Kanniyakumari,2021,7,89.46
Nilgiris,2021,7,239.88
Erode,2021,7,19.55
Pudukkottai,2021,7,208.78
Dindigul,2021,7,128.93
Ramanathapuram,2021,7,1.57
Salem,2021,7,168.44
Thanjavur,2021,7,105.4
Sivaganga,2021,7,142.32
Tiruchchirappalli,2021,7,117.6
Tirunelveli Kattabo,2021,7,131.04
Ariyalur,2021,7,82.09
Chennai,2021,7,153.06
Cuddalore,2021,7,123.76
Kancheepuram,2021,7,134.06
Karur,2021,7,48.87
Madurai,2021,7,159.04
Nagapattinam,2021,7,80.47
Namakkal,2021,7,84.47
Perambalur,2021,7,124.04
Theni,2021,7,210.51
Thiruvallur,2021,7,134.57
Tiruvannamalai,2021,7,182.64
Vellore,2021,7,239.41
Villupuram,2021,7,145.67
Thoothukudi,2021,10,139.25
Coimbatore,2021,10,245.14
Dharmapuri,2021,10,294.23
Virudhunagar,2021,10,184.42
Kanniyakumari,2021,10,235.68
Nilgiris,2021,10,387.12
Erode,2021,10,305.8
Pudukkottai,2021,10,196.71
Dindigul,2021,10,235.79
Ramanathapuram,2021,10,185.73
Salem,2021,10,300.39
Thanjavur,2021,10,193.22
Sivaganga,2021,10,209.36
Tiruchchirappalli,2021,10,225.61
Tirunelveli Kattabo,2021,10,218.87
Ariyalur,2021,10,216.45
Chennai,2021,10,123.12
Cuddalore,2021,10,220.4
Kancheepuram,2021,10,184.59
Karur,2021,10,221.92
Madurai,2021,10,206.83
Nagapattinam,2021,10,206.34
Namakkal,2021,10,272.8
Perambalur,2021,10,237.34
Theni,2021,10,248.41
Thiruvallur,2021,10,137.93
Tiruvannamalai,2021,10,233.53
Vellore,2021,10,225.72
Villupuram,2021,10,217.0
Thoothukudi,2022,1,8.48
Coimbatore,2022,1,17.52
Dharmapuri,2022,1,16.55
Virudhunagar,2022,1,10.41
Kanniyakumari,2022,1,3.17
Nilgiris,2022,1,32.0
Erode,2022,1,16.17
Pudukkottai,2022,1,20.83
Dindigul,2022,1,18.03
Ramanathapuram,2022,1,21.2
Salem,2022,1,22.53
Thanjavur,2022,1,27.36
Sivaganga,2022,1,17.3
Tiruchchirappalli,2022,1,21.33
Tirunelveli Kattabo,2022,1,11.25
Ariyalur,2022,1,31.92
Chennai,2022,1,22.73
Cuddalore,2022,1,37.24
Kancheepuram,2022,1,32.01
Karur,2022,1,15.02
Madurai,2022,1,11.05
Nagapattinam,2022,1,40.5
Namakkal,2022,1,21.24
Perambalur,2022,1,31.02
Theni,2022,1,17.18
Thiruvallur,2022,1,34.76
Tiruvannamalai,2022,1,24.93
Vellore,2022,1,23.21
Villupuram,2022,1,44.53
Thoothukudi,2022,4,117.43
Coimbatore,2022,4,111.33
Dharmapuri,2022,4,76.04
Virudhunagar,2022,4,142.41
Kanniyakumari,2022,4,235.87
Nilgiris,2022,4,167.38
Erode,2022,4,80.47
Pudukkottai,2022,4,90.2
Dindigul,2022,4,121.37
Ramanathapuram,2022,4,115.22
Salem,2022,4,77.72
Thanjavur,2022,4,80.56
Sivaganga,2022,4,107.1
Tiruchchirappalli,2022,4,71.03
Tirunelveli Kattabo,2022,4,189.09
Ariyalur,2022,4,35.89
Chennai,2022,4,8.51
Cuddalore,2022,4,34.45
Kancheepuram,2022,4,16.37
Karur,2022,4,61.04
Madurai,2022,4,107.54
Nagapattinam,2022,4,83.08
Namakkal,2022,4,69.07
Perambalur,2022,4,57.42
Theni,2022,4,174.98
Thiruvallur,2022,4,12.15
Tiruvannamalai,2022,4,37.6
Vellore,2022,4,41.85
Villupuram,2022,4,42.37
Thoothukudi,2022,7,29.55
Coimbatore,2022,7,134.0
Dharmapuri,2022,7,122.51
Virudhunagar,2022,7,159.4
Kanniyakumari,2022,7,145.91
Nilgiris,2022,7,250.31
Erode,2022,7,26.72
Pudukkottai,2022,7,183.34
Dindigul,2022,7,202.42
Ramanathapuram,2022,7,1.8
Salem,2022,7,143.15
Thanjavur,2022,7,99.03
Sivaganga,2022,7,135.35
Tiruchchirappalli,2022,7,135.99
Tirunelveli Kattabo,2022,7,216.5
Ariyalur,2022,7,94.83
Chennai,2022,7,144.54
Cuddalore,2022,7,90.55
Kancheepuram,2022,7,101.0
Karur,2022,7,61.82
Madurai,2022,7,285.11
Nagapattinam,2022,7,53.61
Namakkal,2022,7,94.48
Perambalur,2022,7,149.88
Theni,2022,7,389.28
Thiruvallur,2022,7,118.58
Tiruvannamalai,2022,7,113.29
Vellore,2022,7,156.07
Villupuram,2022,7,83.3
Thoothukudi,2022,10,111.2
Coimbatore,2022,10,131.54
Dharmapuri,2022,10,157.97
Virudhunagar,2022,10,145.29
Kanniyakumari,2022,10,128.59
Nilgiris,2022,10,172.56
Erode,2022,10,160.76
Pudukkottai,2022,10,166.27
Dindigul,2022,10,163.24
Ramanathapuram,2022,10,152.04
Salem,2022,10,162.35
Thanjavur,2022,10,192.33
Sivaganga,2022,10,172.74
Tiruchchirappalli,2022,10,150.71
Tirunelveli Kattabo,2022,10,141.64
Ariyalur,2022,10,196.58
Chennai,2022,10,118.48
Cuddalore,2022,10,179.72
Kancheepuram,2022,10,136.08
Karur,2022,10,139.28
Madurai,2022,10,163.29
Nagapattinam,2022,10,241.64
Namakkal,2022,10,161.23
Perambalur,2022,10,167.07
Theni,2022,10,190.19
Thiruvallur,2022,10,131.46
Tiruvannamalai,2022,10,132.01
Vellore,2022,10,119.17
Villupuram,2022,10,142.47
Thoothukudi,2023,1,10.64
Coimbatore,2023,1,11.9
Dharmapuri,2023,1,6.27
Virudhunagar,2023,1,8.34
Kanniyakumari,2023,1,7.7
Nilgiris,2023,1,21.79
Erode,2023,1,9.54
Pudukkottai,2023,1,8.71
Dindigul,2023,1,8.95
Ramanathapuram,2023,1,11.82
Salem,2023,1,7.67
Thanjavur,2023,1,7.56
Sivaganga,2023,1,8.63
Tiruchchirappalli,2023,1,8.07
Tirunelveli Kattabo,2023,1,13.4
Ariyalur,2023,1,5.94
Chennai,2023,1,7.08
Cuddalore,2023,1,9.41
Kancheepuram,2023,1,9.06
Karur,2023,1,6.82
Madurai,2023,1,4.91
Nagapattinam,2023,1,4.27
Namakkal,2023,1,8.93
Perambalur,2023,1,8.92
Theni,2023,1,11.7
Thiruvallur,2023,1,10.33
Tiruvannamalai,2023,1,7.19
Vellore,2023,1,6.97
