district,year,month,ndvi
Tiruchchirappalli,2021,7,0.3935
Tirunelveli Kattabo,2021,7,0.4283
Ariyalur,2021,7,0.3845
Chennai,2021,7,0.2509
Cuddalore,2021,7,0.4472
Kancheepuram,2021,7,0.5192
Karur,2021,7,0.331
Madurai,2021,7,0.3355
Nagapattinam,2021,7,0.0
Namakkal,2021,7,0.5019
Perambalur,2021,7,0.3722
Theni,2021,7,0.0
Thiruvallur,2021,7,0.4845
Tiruvannamalai,2021,7,0.5377
Vellore,2021,7,0.5176
Villupuram,2021,7,0.5213
Thoothukudi,2021,10,0.0456
Coimbatore,2021,10,0.0
Dharmapuri,2021,10,0.0
Virudhunagar,2021,10,0.0
Kanniyakumari,2021,10,0.4851
Nilgiris,2021,10,0.489
Erode,2021,10,0.4366
Pudukkottai,2021,10,0.3059
Dindigul,2021,10,0.5197
Ramanathapuram,2021,10,0.0
Salem,2021,10,0.4249
Thanjavur,2021,10,0.4068
Sivaganga,2021,10,0.0
Tiruchchirappalli,2021,10,0.5313
Tirunelveli Kattabo,2021,10,0.0
Ariyalur,2021,10,0.5156
Chennai,2021,10,0.2239
Cuddalore,2021,10,0.4709
Kancheepuram,2021,10,0.4937
Karur,2021,10,0.5009
Madurai,2021,10,0.0
Nagapattinam,2021,10,0.3501
Namakkal,2021,10,0.4626
Perambalur,2021,10,0.5407
Theni,2021,10,0.0
Thiruvallur,2021,10,0.4003
Tiruvannamalai,2021,10,0.5642
Vellore,2021,10,0.4818
Villupuram,2021,10,0.5325
Thoothukudi,2022,1,0.4262
Coimbatore,2022,1,0.4832
Dharmapuri,2022,1,0.4634
Virudhunagar,2022,1,0.4469
Kanniyakumari,2022,1,0.5809
Nilgiris,2022,1,0.5778
Erode,2022,1,0.5175
Pudukkottai,2022,1,0.4843
Dindigul,2022,1,0.5018
Ramanathapuram,2022,1,0.4231
Salem,2022,1,0.4999
Thanjavur,2022,1,0.6008
Sivaganga,2022,1,0.4541
Tiruchchirappalli,2022,1,0.4854
Tirunelveli Kattabo,2022,1,0.4952
Ariyalur,2022,1,0.5038
Chennai,2022,1,0.1652
Cuddalore,2022,1,0.4878
Kancheepuram,2022,1,0.3653
Karur,2022,1,0.4344
Madurai,2022,1,0.4666
Nagapattinam,2022,1,0.5832
Namakkal,2022,1,0.4467
Perambalur,2022,1,0.4781
Theni,2022,1,0.5247
Thiruvallur,2022,1,0.3797
Tiruvannamalai,2022,1,0.4366
Vellore,2022,1,0.4811
Villupuram,2022,1,0.4883
Thoothukudi,2022,4,0.257
Coimbatore,2022,4,0.4609
Dharmapuri,2022,4,0.3699
